ID,Cell Name,Station ID,OBC Variant Number,Part Serial Number (SFC),Screw Material Number,PKP,AST11,Action (Task) Number,Program Number,Status,Date And Time,Last Step Number,Run Time,Step1 Number,Step1 Torque Low Value,Step1 Torque Target Value,Step1 Torque Measured Value,Step1 Torque Up Value,Step1 Angle Low Value,Step1 Angle Target Value,Step1 Angle Measured Value,Step1 Angle Up Value,Step2 Number,Step2 Torque Low Value,Step2 Torque Target Value,Step2 Torque Measured Value,Step2 Torque Up Value,Step2 Angle Low Value,Step2 Angle Target Value,Step2 Angle Measured Value,Step2 Angle Up Value,Step3 Number,Step3 Torque Low Value,Step3 Torque Target Value,Step3 Torque Measured Value,Step3 Torque Up Value,Step3 Angle Low Value,Step3 Angle Target Value,Step3 Angle Measured Value,Step3 Angle Up Value,Comment
158039,ST030,2,10352189,XT006RJT78270,10314078,1,1,8,1,0,2018-11-26 11:24:02,8,4.24,6,1.70,1.80,0.14,1.90,0,0,720,0,8,0.00,0.00,1.88,1.70,650,720,18,790,0,1.80,1.90,0.00,2.05,2,0,0,950,OK
158038,ST030,1,10352189,XT006RK182770,10314078,1,1,15,2,0,2018-11-26 11:23:59,17,5.06,13,0.95,1.00,0.52,1.05,0,0,40,0,15,0.01,0.00,1.04,1.50,30,40,7,60,17,0.95,1.00,1.04,1.10,1,0,7,200,OK
158037,ST030,2,10352189,XT006RJT78270,10314078,1,1,7,1,0,2018-11-26 11:23:55,8,4.59,6,1.70,1.80,0.16,1.90,0,0,720,0,8,0.00,0.00,1.89,1.70,650,720,18,790,0,1.80,1.90,0.00,2.05,2,0,0,950,OK
158036,ST030,2,10352189,XT006RJT78270,10314078,1,1,6,1,0,2018-11-26 11:23:47,8,4.71,6,1.70,1.80,0.11,1.90,0,0,720,0,8,0.00,0.00,1.87,1.70,650,720,18,790,0,1.80,1.90,0.00,2.05,2,0,0,950,OK
158035,ST030,1,10352189,XT006RK182770,10314078,1,1,11,2,0,2018-11-26 11:23:44,17,4.73,13,0.95,1.00,0.53,1.05,0,0,40,0,15,0.01,0.00,1.04,1.50,30,40,5,60,17,0.95,1.00,1.04,1.10,1,0,5,200,OK
158034,ST030,2,10352189,XT006RJT78270,10314078,1,1,5,1,0,2018-11-26 11:23:38,8,4.48,6,1.70,1.80,0.13,1.90,0,0,720,0,8,0.00,0.00,1.91,1.70,650,720,15,790,0,1.80,1.90,0.00,2.05,2,0,0,950,OK
158033,ST030,2,10352189,XT006RJT78270,10314078,1,1,4,1,0,2018-11-26 11:23:30,8,5.42,6,1.70,1.80,0.14,1.90,0,0,720,0,8,0.00,0.00,1.88,1.70,650,720,29,790,0,1.80,1.90,0.00,2.05,2,0,0,950,OK
158032,ST030,2,10352189,XT006RJT78270,10314078,1,1,3,1,0,2018-11-26 11:23:21,8,7.25,6,1.70,1.80,0.23,1.90,0,0,720,0,8,0.00,0.00,1.88,1.70,650,720,96,790,0,1.80,1.90,0.00,2.05,2,0,0,950,OK
158031,ST030,2,10352189,XT006RJT78270,10314078,1,1,2,1,0,2018-11-26 11:23:10,8,5.34,6,1.70,1.80,0.26,1.90,0,0,720,0,8,0.00,0.00,1.90,1.70,650,720,20,790,0,1.80,1.90,0.00,2.05,2,0,0,950,OK
158030,ST030,1,10352189,XT006RJT78270,10314078,1,1,31,2,0,2018-11-26 11:19:59,17,5.21,13,0.95,1.00,0.57,1.05,0,0,40,0,15,0.01,0.00,1.00,1.50,30,40,7,60,17,0.95,1.00,1.00,1.10,1,0,7,200,OK
158029,ST030,1,10352189,XT006RJT78270,10314078,1,1,27,2,0,2018-11-26 11:19:44,17,4.48,13,0.95,1.00,0.33,1.05,0,0,40,0,15,0.01,0.00,1.01,1.50,30,40,7,60,17,0.95,1.00,1.01,1.10,1,0,7,200,OK
158028,ST030,1,10352189,XT006RJT78270,10314078,1,1,23,2,0,2018-11-26 11:19:31,17,4.42,13,0.95,1.00,0.44,1.05,0,0,40,0,15,0.01,0.00,1.00,1.50,30,40,6,60,17,0.95,1.00,1.00,1.10,1,0,6,200,OK
158027,ST030,1,10352189,XT006RJT78270,10314078,1,1,19,2,0,2018-11-26 11:19:20,17,4.50,13,0.95,1.00,0.45,1.05,0,0,40,0,15,0.01,0.00,1.00,1.50,30,40,8,60,17,0.95,1.00,1.00,1.10,1,0,8,200,OK
158026,ST030,1,10352189,XT006RJT78270,10314078,1,1,15,2,0,2018-11-26 11:19:08,17,5.02,13,0.95,1.00,0.61,1.05,0,0,40,0,15,0.01,0.00,1.00,1.50,30,40,44,60,17,0.95,1.00,1.00,1.10,1,0,44,200,OK
158025,ST030,1,10352189,XT006RJT78270,10314078,1,1,11,2,0,2018-11-26 11:18:56,17,4.98,13,0.95,1.00,0.62,1.05,0,0,40,0,15,0.01,0.00,1.00,1.50,30,40,9,60,17,0.95,1.00,1.00,1.10,1,0,9,200,OK
